,year,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,salary,single,slg %,obp,batting avg,ops,tb,rc,babip,pa,xbh,iso,bb/pa,so/pa,high_paid_y,high_paid_n
93,0,61,202,18,48,6,0,0,13,11,4,14,34,1,2,1,1,3,404000,42,0.26732673267326734,0.2922374429223744,0.2376237623762376,0.5595641755956418,54,15.5,0.28402366863905326,220,6,6.0,0.06363636363636363,0.15454545454545454,1,0
94,0,53,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,420000,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,1.0,1,0
95,0,61,136,14,32,3,1,2,12,0,0,24,35,0,3,0,1,3,412500,26,0.3161764705882353,0.3597560975609756,0.23529411764705882,0.6759325681492109,43,15.05,0.3,164,6,5.044117647058823,0.14634146341463414,0.21341463414634146,1,0
96,0,22,34,2,4,0,0,0,0,0,0,4,16,0,0,2,0,0,4000000,4,0.11764705882352941,0.21052631578947367,0.11764705882352941,0.3281733746130031,4,0.8421052631578947,0.2222222222222222,40,0,0.0,0.1,0.4,0,1
97,0,159,608,78,183,51,1,21,93,1,0,58,103,3,2,0,4,20,421000,110,0.4917763157894737,0.36160714285714285,0.30098684210526316,0.8533834586466165,299,108.19669669669669,0.3319672131147541,672,73,53.10361842105263,0.08630952380952381,0.15327380952380953,1,0
98,0,76,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1000000,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,0,0.0,0.0,0.3333333333333333,1,0
99,0,146,547,66,155,43,2,20,89,8,4,32,98,2,10,0,10,11,3060000,90,0.4789762340036563,0.328881469115192,0.283363802559415,0.8078577031188483,262,84.61830742659758,0.30751708428246016,599,65,47.109689213893965,0.05342237061769616,0.1636060100166945,0,1
100,0,84,239,26,54,14,1,8,31,9,3,12,30,0,3,2,2,4,11666666,31,0.39330543933054396,0.26953125,0.22594142259414227,0.662836689330544,94,24.717131474103585,0.22660098522167488,258,23,16.10041841004184,0.046511627906976744,0.11627906976744186,0,1
101,0,131,523,81,161,42,4,6,68,17,4,44,89,1,1,10,3,13,416700,109,0.4378585086042065,0.3607705779334501,0.3078393881453155,0.7986290865376566,229,82.79541446208113,0.35962877030162416,581,52,50.03441682600383,0.0757314974182444,0.153184165232358,1,0
102,0,9,11,0,0,0,0,0,0,0,0,2,9,0,1,2,0,0,2600000,0,0.0,0.21428571428571427,0.0,0.21428571428571427,0,0.0,0.0,16,0,0.0,0.125,0.5625,0,1
103,0,103,377,59,96,18,8,2,31,25,8,46,88,5,5,8,2,3,400000,68,0.36074270557029176,0.34186046511627904,0.2546419098143236,0.7026031706865707,136,45.6548463356974,0.32525951557093424,438,28,34.01591511936339,0.1050228310502283,0.2009132420091324,1,0
104,0,154,485,66,133,28,1,13,68,10,2,43,59,4,4,4,4,15,1400000,91,0.41649484536082476,0.3358208955223881,0.27422680412371137,0.7523157408832128,202,67.33333333333333,0.28776978417266186,540,42,30.08041237113402,0.07962962962962963,0.10925925925925926,0,1
105,0,160,611,96,198,34,0,34,103,6,2,68,107,14,5,0,1,22,14383049,130,0.546644844517185,0.3956204379562044,0.32405891980360063,0.9422652824733894,334,130.84536082474227,0.3481953290870488,685,68,34.166939443535185,0.09927007299270073,0.1562043795620438,0,1
106,0,101,414,41,116,23,0,4,41,11,4,25,39,1,0,5,4,13,4000000,89,0.3647342995169082,0.3182844243792325,0.28019323671497587,0.6830187238961407,151,48.49886104783599,0.2986666666666667,448,27,23.028985507246375,0.05580357142857143,0.08705357142857142,0,1
107,0,32,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,1,0.5,0.5,0.5,1.0,1,0.5,0.5,2,0,0.0,0.0,0.0,1,0
108,0,33,60,2,9,2,1,0,3,0,0,4,31,0,0,9,0,0,2900000,6,0.21666666666666667,0.203125,0.15,0.4197916666666667,13,2.640625,0.3103448275862069,73,3,4.0,0.0547945205479452,0.4246575342465753,0,1
