"player_id","year","stint","team_id","league_id","g","ab","r","h","double","triple","hr","rbi","sb","cs","bb","so","ibb","hbp","sh","sf","g_idp"
"betanra01",2009,2,"COL","NL",32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"betanyu01",2009,1,"SEA","AL",63,224.0,15.0,56.0,10.0,1.0,2.0,22.0,3.0,1.0,10.0,18.0,0.0,0.0,8.0,3.0,9.0
"betanyu01",2009,2,"KCA","AL",71,246.0,25.0,59.0,10.0,5.0,4.0,27.0,0.0,2.0,11.0,26.0,0.0,0.0,3.0,3.0,8.0
"betemwi01",2009,1,"CHA","AL",20,45.0,2.0,9.0,5.0,0.0,0.0,3.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,2.0
"billich01",2009,1,"LAN","NL",33,56.0,2.0,10.0,2.0,0.0,1.0,4.0,0.0,0.0,4.0,24.0,0.0,0.0,7.0,0.0,1.0
"bixlebr01",2009,1,"PIT","NL",18,44.0,5.0,10.0,5.0,0.0,0.0,3.0,1.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0
"blackni01",2009,1,"MIN","AL",33,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"blakeca01",2009,1,"LAN","NL",139,485.0,84.0,136.0,25.0,6.0,18.0,79.0,3.0,4.0,63.0,116.0,8.0,6.0,1.0,10.0,12.0
"blaloha01",2009,1,"TEX","AL",123,462.0,62.0,108.0,21.0,4.0,25.0,66.0,2.0,0.0,26.0,108.0,2.0,3.0,0.0,4.0,6.0
"blancan01",2009,1,"CHN","NL",53,123.0,15.0,31.0,8.0,0.0,1.0,12.0,0.0,2.0,8.0,14.0,3.0,1.0,6.0,0.0,4.0
"blancgr01",2009,1,"ATL","NL",24,43.0,5.0,8.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,9.0,0.0,0.0,1.0,0.0,1.0
"blanche01",2009,1,"SDN","NL",67,204.0,21.0,48.0,12.0,0.0,6.0,16.0,0.0,0.0,26.0,50.0,2.0,0.0,1.0,1.0,5.0
"blankky01",2009,1,"SDN","NL",54,148.0,24.0,37.0,9.0,0.0,10.0,22.0,1.0,1.0,18.0,55.0,1.0,6.0,0.0,0.0,4.0
"blantjo01",2009,1,"PHI","NL",31,55.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,21.0,0.0,1.0,9.0,0.0,0.0
"blevije01",2009,1,"OAK","AL",20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"bloomwi01",2009,1,"KCA","AL",125,434.0,52.0,115.0,11.0,8.0,4.0,29.0,25.0,6.0,27.0,73.0,1.0,1.0,4.0,2.0,7.0
"blumge01",2009,1,"HOU","NL",120,381.0,34.0,94.0,14.0,1.0,10.0,49.0,0.0,1.0,33.0,61.0,4.0,7.0,0.0,6.0,9.0
"boggsbr01",2009,1,"TEX","AL",9,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
"boggsmi01",2009,1,"SLN","NL",16,14.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0
"bondeje01",2009,1,"DET","AL",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"bonifem01",2009,1,"FLO","NL",127,461.0,72.0,116.0,11.0,6.0,1.0,27.0,21.0,9.0,34.0,95.0,0.0,2.0,8.0,4.0,5.0
"bonined01",2009,1,"DET","AL",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"booneaa01",2009,1,"HOU","NL",10,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
